UMPD CASENUMBER,OCCURRED DATE TIMELOCATION,REPORT DATE TIME,TYPE,DISPOSITION,LOCATION,BUILDING,LAT,LONG
2016-00001561,2016-01-05 14:13:00,2016-01-05 14:13:00,Damage to State Property,CBE,8223 Paint Branch Dr,"A.V. Williams Building, AV Williams",38.9907883,-76.93629419999998
2016-00001726,2016-01-06 00:11:00,2016-01-06 00:11:00,Injured/Sick Person,CBE,7570 Calvert Service Ln,Garrett Hall,38.983028600000004,-76.94246940000002
2016-00001805,2016-01-06 10:50:00,2016-01-06 10:50:00,Recovered Stolen Property,Arrest,Campus Dr,,38.9886616,-76.9350786
2016-00001807,2016-01-05 12:00:00,2016-01-06 11:55:00,Theft,Unfounded,7998 Regents Dr,Symons Hall,38.9870634,-76.94066149999998
2016-00001817,2016-01-06 15:25:00,2016-01-06 15:25:00,CDS Violation,CBE,4318 Knox Rd,"Commons 3, SCC 3, South Campus Commons 3",38.9815781,-76.9405551
2016-00001845,2016-01-06 18:15:00,2016-01-06 18:15:00,Injured/Sick Person,CBE,8500 Paint Branch Dr,"Comcast Center, Xfinity Center",38.994984,-76.94049100000002
2016-00001932,2016-01-07 00:43:00,2016-01-07 00:43:00,Disorderly Conduct,Arrest,4318 Knox Rd,"Commons 3, SCC 3, South Campus Commons 3",38.9815781,-76.9405551
2016-00001974,2016-01-06 10:30:00,2016-01-07 08:33:00,Other Incident,CBE,Campus Dr,,38.9886616,-76.9350786
2016-00001989,2016-01-07 13:18:00,2016-01-07 13:18:00,Injured/Sick Person,CBE,4128 Valley Dr,"Eppley Recreation Center, ERC",38.9929529,-76.9441866
2016-00001998,2016-01-07 14:44:00,2016-01-07 14:44:00,CDS Violation,Arrest,Campus Dr,,38.9886616,-76.9350786
2016-00002035,2016-01-07 18:46:00,2016-01-07 18:46:00,Injured/Sick Person,CBE,3981 Denton Service Ln,Elkton Hall,38.9928946,-76.94858420000001
2016-00002163,2016-01-08 00:28:00,2016-01-08 00:28:00,DWI/DUI,Arrest,Hartwick Rd,,38.979669200000004,-76.9384512
2016-00002192,2016-01-08 01:50:00,2016-01-08 01:50:00,Suspicious Person/Auto,CBE,Lot 3,,38.9882734,-76.95323370000001
2016-00002415,2016-01-08 20:38:00,2016-01-08 20:38:00,Damage to State Property,CBE,7999 Regents Dr,"Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration",38.9865424,-76.94016359999998
2016-00002530,2016-01-09 00:59:00,2016-01-09 00:59:00,Theft,Arrest,Rhode Island Ave,,39.005088,-76.92395040000002
2016-00002532,2016-01-09 01:06:00,2016-01-09 01:06:00,Warrant/Summons Service,Arrest,9000 block of Baltimore Ave,,38.999249,-76.93137080000002
2016-00002536,2016-01-09 01:45:00,2016-01-09 01:45:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00002599,2016-01-09 09:12:00,2016-01-09 09:12:00,Traffic Arrest,Arrest,University Bl,,39.0006468,-76.9413438
2016-00002643,2016-01-09 14:52:00,2016-01-09 14:52:00,CDS Violation,Arrest,Greenbelt Rd,,38.9980549,-76.9173744
2016-00002804,2016-01-10 02:26:00,2016-01-10 02:26:00,DWI/DUI,Arrest,7300 Baltimore Ave,"College Park Shopping Center, CVS",38.9798863,-76.93837490000001
2016-00002898,2016-01-10 12:04:00,2016-01-10 12:04:00,Injured/Sick Person,CBE,4128 Valley Dr,"Eppley Recreation Center, ERC",38.9929529,-76.9441866
2016-00002932,2016-01-09 16:00:00,2016-01-10 18:16:00,Stolen Motor Vehicle,Arrest,346 Ehrensberger Dr,"Drazek Circle, UMUC",38.9869361,-76.95497309999998
2016-00003124,2016-01-11 11:42:00,2016-01-11 11:42:00,Warrant/Summons Service,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00003127,2016-01-11 13:17:00,2016-01-11 13:17:00,CDS Violation,Arrest,University Bl,,39.0006468,-76.9413438
2016-00003163,2016-01-11 18:53:00,2016-01-11 18:53:00,Trespassing,Arrest,7765 Alumni Dr,"Journalism Building, Knight Hall",38.986897,-76.9489952
2016-00003244,2016-01-09 12:00:00,2016-01-12 09:38:00,Vandalism,Active/Pending,Lot 9b,,38.9943037,-76.93927930000002
2016-00003260,2016-01-11 09:00:00,2016-01-12 12:10:00,Theft from Auto,Suspended,Lot Z,,38.9896967,-76.93776
2016-00003266,2016-01-12 13:24:00,2016-01-12 13:24:00,Trespassing,Arrest,3972 Campus Dr,"Stamp, Stamp Student Union, Student Union, Union",38.98821940000001,-76.94469720000002
2016-00003470,2015-12-12 00:00:00,2016-01-13 15:39:00,Fraud,Arrest,8279 Paint Branch Dr,Energy Research Facility,38.9919648,-76.93728159999998
2016-00003643,2016-01-14 07:36:00,2016-01-14 07:36:00,Dept Property Damage/Loss,Active/Pending,Lot F,,38.9896967,-76.93776
2016-00003689,2016-01-14 14:32:00,2016-01-14 14:32:00,Warrant/Summons Service,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00003792,2016-01-15 01:52:00,2016-01-15 01:52:00,DWI/DUI,Arrest,Greenbelt Rd,,38.9980549,-76.9173744
2016-00003852,2016-01-15 11:37:00,2016-01-15 11:37:00,Injured/Sick Person,CBE,8127 Regents Dr,Animal Science Building,38.99168020000001,-76.9399602
2016-00003858,2015-12-15 08:15:00,2016-01-15 13:54:00,Theft,Unfounded,39 Mowatt La,,38.9822472,-76.947075
2016-00003985,2016-01-16 03:25:00,2016-01-16 03:25:00,Assist Other Agency,Active/Pending,4600 River Rd,"College Park Metro, Metro",38.9707539,-76.92762689999998
2016-00003996,2016-01-16 09:16:00,2016-01-16 09:16:00,Injured/Sick Person,CBE,8500 Paint Branch Dr,"Comcast Center, Xfinity Center",38.994984,-76.94049100000002
2016-00004007,2016-01-16 10:37:00,2016-01-16 10:37:00,Injured/Sick Person,CBE,8500 Paint Branch Dr,"Comcast Center, Xfinity Center",38.994984,-76.94049100000002
2016-00004015,2016-01-16 11:21:00,2016-01-16 11:21:00,Injured/Sick Person,CBE,8500 Paint Branch Dr,"Comcast Center, Xfinity Center",38.994984,-76.94049100000002
2016-00004029,2016-01-16 06:00:00,2016-01-16 13:57:00,Vandalism,Suspended,8500 Paint Branch Dr,"Comcast Center, Xfinity Center",38.994984,-76.94049100000002
2016-00004152,2016-01-17 02:46:00,2016-01-17 02:46:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00004182,2016-01-17 09:28:00,2016-01-17 09:28:00,CDS Violation,Arrest,Knox Rd,,38.9807378,-76.93726699999998
2016-00004388,2016-01-18 09:06:00,2016-01-18 09:06:00,Alarm,CBE,4418 Stadium Dr,Chemical & Nuclear Engineering,38.99041370000001,-76.9391677
2016-00004407,2016-01-18 10:58:00,2016-01-18 10:58:00,Injured/Sick Person,CBE,345 Ehrensberger Dr,UMUC Inn & Conference Center,38.9869361,-76.95497309999998
2016-00004439,2016-01-18 12:30:00,2016-01-18 13:54:00,Dept Property Damage/Loss,CBE,6000 block of 66th Ave,,38.960159600000004,-76.9041739
2016-00004677,2016-01-19 14:32:00,2016-01-19 14:32:00,Traffic Arrest,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00004793,2016-01-20 02:07:00,2016-01-20 02:07:00,Injured/Sick Person,CBE,4128 Valley Dr,"Eppley Recreation Center, ERC",38.9929529,-76.9441866
2016-00004867,2016-01-20 13:47:00,2016-01-20 13:49:00,Damage to State Property,CBE,10 Fraternity Row,"Frat 10, Sigma Kappa Sorority",38.9833388,-76.9351684
2016-00004869,2016-01-20 12:46:00,2016-01-20 13:46:00,Damage to State Property,CBE,7751 Alumni Dr,Tawes Hall,38.9859388,-76.94900369999998
2016-00004875,2016-01-20 15:09:00,2016-01-20 15:09:00,CDS Violation,CBE,4646 Norwich Rd,"Leonardtown #242, Leonardtown",38.98269910000001,-76.9320704
2016-00004880,2016-01-20 15:53:00,2016-01-20 15:53:00,CDS Violation,Arrest,4646 Norwich Rd,"Leonardtown #242, Leonardtown",38.98269910000001,-76.9320704
2016-00004934,2016-01-21 07:12:00,2016-01-21 07:12:00,Recovered Stolen Property,Active/Pending,Regents Dr,,38.98743560000001,-76.9399595
2016-00004985,2016-01-20 21:00:00,2016-01-21 20:20:00,Vandalism,Suspended,"Graham Cracker, Lot 15",,38.9811302,-76.93759829999998
2016-00005007,2016-01-21 23:21:00,2016-01-21 23:21:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00005033,2016-01-22 00:58:00,2016-01-22 00:58:00,CDS Violation,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00005040,2016-01-22 02:28:00,2016-01-22 02:28:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00005100,2016-01-22 09:40:00,2016-01-22 09:40:00,CDS Violation,Arrest,3854 Stadium Dr,Denton Hall,38.9919854,-76.95030390000002
2016-00005109,2016-01-22 11:34:00,2016-01-22 11:34:00,CDS Violation,Arrest,4121 Farm Dr,"La Plata Hall, LaPlata hall",38.9924408,-76.9456119
2016-00005121,2016-01-22 15:12:00,2016-01-22 15:12:00,CDS Violation,CBE,7218 Preinkert Dr,Wicomico Hall,38.9836916,-76.94514720000002
2016-00005130,2016-01-23 00:07:00,2016-01-23 00:07:00,Injured/Sick Person,CBE,4000 Stadium Dr,Hagerstown Hall,38.992106,-76.9478627
2016-00005146,2016-01-23 10:23:00,2016-01-23 10:23:00,CDS Violation,Arrest,3917 Denton Service Ln,Easton Hall,38.9929506,-76.95023189999998
2016-00005175,2016-01-24 02:42:00,2016-01-24 02:42:00,Injured/Sick Person,CBE,7551 Calvert Service Ln,Calvert Hall,38.9829376,-76.9419205
2016-00005200,2016-01-24 14:30:00,2016-01-24 18:32:00,Injured/Sick Person,CBE,7154 Preinkert Dr,Caroline Hall,38.983579399999996,-76.94516429999999
2016-00005201,2016-01-24 19:03:00,2016-01-24 19:03:00,Injured/Sick Person,CBE,3917 Denton Service Ln,Easton Hall,38.9929506,-76.95023189999998
2016-00005208,2016-01-25 01:06:00,2016-01-25 01:06:00,CDS Violation,CBE,3981 Denton Service Ln,Elkton Hall,38.9928946,-76.94858420000001
2016-00005218,2016-01-25 10:00:00,2016-01-25 10:08:00,Damage to State Property,CBE,140 block of Campus Dr,,38.9872479,-76.944627
2016-00005241,2016-01-25 16:19:00,2016-01-25 16:19:00,Theft,Suspended,7744 Regents Dr,"Chapel, Memorial Chapel",38.98417979999999,-76.9400752
2016-00005250,2016-01-25 17:20:00,2016-01-25 17:20:00,Injured/Sick Person,CBE,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00005258,2016-01-25 17:51:00,2016-01-25 17:51:00,Injured/Sick Person,CBE,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00005290,2016-01-25 22:44:00,2016-01-25 22:44:00,Theft,Arrest,4400 block of Knox Rd,,38.980953,-76.9371865
2016-00005303,2016-01-25 23:35:00,2016-01-25 23:35:00,CDS Violation,CBE,4145 Valley Dr,Cumberland Hall,38.9929529,-76.9441866
2016-00005312,2016-01-26 00:58:00,2016-01-26 00:58:00,Injured/Sick Person,CBE,4145 Valley Dr,Cumberland Hall,38.9929529,-76.9441866
2016-00005322,2016-01-26 01:55:00,2016-01-26 02:03:00,CDS Violation,CBE,3915 Campus Dr,Anne Arundel Hall,38.98594110000001,-76.94668999999998
2016-00005330,2016-01-26 02:36:00,2016-01-26 02:36:00,Weapon Violation,Arrest,University Bl,,39.0006468,-76.9413438
2016-00005339,2016-01-26 07:00:00,2016-01-26 07:46:00,Injured/Sick Person,CBE,4000 Stadium Dr,Hagerstown Hall,38.992106,-76.9478627
2016-00005357,2016-01-26 09:10:00,2016-01-26 09:20:00,Accident,CBE,4028 Stadium Dr,Ellicott Area Dining Hall,38.99247889999999,-76.9466291
2016-00005384,2016-01-25 21:00:00,2016-01-26 12:16:00,Stolen Motor Vehicle,Unfounded,Lot Y,,38.9896967,-76.93776
2016-00005394,2016-01-26 14:22:00,2016-01-26 14:22:00,Trespassing,Warrant Issued,3972 Campus Dr,"Stamp, Stamp Student Union, Student Union, Union",38.98821940000001,-76.94469720000002
2016-00005405,2016-01-26 16:00:00,2016-01-26 16:25:00,Injured/Sick Person,CBE,3981 Denton Service Ln,Elkton Hall,38.9928946,-76.94858420000001
2016-00005425,2016-01-26 20:41:00,2016-01-26 20:41:00,CDS Violation,CBE,4155 Terrapin Trl,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG",38.9952867,-76.94265469999998
2016-00005442,2016-01-26 23:30:00,2016-01-26 23:31:00,Damage to State Property,CBE,4052 Stadium Dr,Ellicott Hall,38.99148020000001,-76.94716700000002
2016-00005451,2016-01-27 00:23:00,2016-01-27 00:26:00,Injured/Sick Person,CBE,7570 Regents Dr,Montgomery Hall,38.98244589999999,-76.93909520000003
2016-00005466,2016-01-27 02:05:00,2016-01-27 02:10:00,Injured/Sick Person,CBE,3981 Denton Service Ln,Elkton Hall,38.9928946,-76.94858420000001
2016-00005484,2016-01-27 05:19:00,2016-01-27 05:19:00,Assist Other Agency,CBE,8150 Baltimore Ave,"Looney's Pub, The Varsity",38.9914779,-76.9343642
2016-00005539,2015-12-18 15:30:00,2016-01-27 13:11:00,Burglary,Arrest,78 Administration Ci,,38.9809271,-76.9370323
2016-00005567,2016-01-27 17:50:00,2016-01-27 17:50:00,Emergency Petition,CBE,6901 Preinkert Dr,"Commons 6, SCC 6, South Campus Commons 6",38.9821781,-76.9446528
2016-00005577,2016-01-27 18:24:00,2016-01-27 18:24:00,Injured/Sick Person,CBE,7093 Preinkert Dr,South Campus Dining Hall,38.983201,-76.9448953
2016-00005589,2016-01-27 20:20:00,2016-01-27 20:28:00,Injured/Sick Person,CBE,4128 Valley Dr,"Eppley Recreation Center, ERC",38.9929529,-76.9441866
2016-00005596,2016-01-27 22:02:00,2016-01-27 22:02:00,CDS Violation,Arrest,Lot 2g,,38.994511700000004,-76.94747209999998
2016-00005718,2016-01-27 06:00:00,2016-01-28 10:00:00,Theft,Active/Pending,4074 Fieldhouse Dr,"Satellite Central Utilities Building 3, SCUB 3",38.9889696,-76.94636249999998
2016-00005753,2016-01-28 13:13:00,2016-01-28 13:18:00,Injured/Sick Person,CBE,4230 Farm Dr,Cambridge Hall,38.991634999999995,-76.943038
2016-00005762,2016-01-25 12:00:00,2016-01-28 14:11:00,Lost Property,Active/Pending,7569 Baltimore Ave,"Pocomoke Building, Police, UMDPS, UMPD",38.982924,-76.9375941
2016-00005768,2016-01-28 14:52:00,2016-01-28 14:52:00,Injured/Sick Person,CBE,7649 Library Ln,Mckeldin Library,38.98644000000001,-76.94518199999997
2016-00005777,2016-01-28 17:59:00,2016-01-28 17:59:00,Recovered Stolen Motor Vehicle,CBE,7567 Regents Dr,South Gate,38.98244589999999,-76.93909520000003
2016-00005808,2016-01-28 22:38:00,2016-01-28 22:38:00,CDS Violation,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00005839,2016-01-29 01:07:00,2016-01-29 01:07:00,Suspicious Activity,Active/Pending,7154 Preinkert Dr,Caroline Hall,38.983579399999996,-76.94516429999999
2016-00005848,2016-01-29 02:00:00,2016-01-29 02:04:00,Injured/Sick Person,CBE,4230 Farm Dr,Cambridge Hall,38.991634999999995,-76.943038
2016-00005860,2016-01-29 03:30:00,2016-01-29 03:30:00,Injured/Sick Person,CBE,4610 Norwich Rd,"Leonardtown #239, Leonardtown",38.98242279999999,-76.93336520000003
2016-00005895,2016-01-29 09:51:00,2016-01-29 09:51:00,Dept Property Damage/Loss,CBE,7569 Baltimore Ave,"Pocomoke Building, Police, UMDPS, UMPD",38.982924,-76.9375941
2016-00005903,2016-01-09 16:45:00,2016-01-29 10:36:00,Theft,Arrest,7649 Library Ln,Mckeldin Library,38.98644000000001,-76.94518199999997
2016-00005908,2016-01-29 11:35:00,2016-01-29 11:35:00,Injured/Sick Person,CBE,4243 Valley Dr,Centreville Hall,38.9922658,-76.9417442
2016-00005919,2016-01-29 13:59:00,2016-01-29 13:59:00,Warrant/Summons Service,Arrest,4306 Campus Dr,North Gate,38.9882089,-76.93779239999998
2016-00005927,2016-01-27 09:00:00,2016-01-29 15:19:00,Check on the Welfare,CBE,6800 block of Preinkert Dr,,38.98154210000001,-76.9448398
2016-00005928,2016-01-29 16:46:00,2016-01-29 16:46:00,Theft,CBE,7030 Preinkert Dr,Prince Frederick Hall,38.983464700000006,-76.9451097
2016-00006000,2016-01-29 22:54:00,2016-01-29 22:54:00,Alcohol Violation,Arrest,Knox Rd,,38.9807378,-76.93726699999998
2016-00006008,2016-01-29 23:23:00,2016-01-29 23:23:00,CDS Violation,CBE,4243 Valley Dr,Centreville Hall,38.9922658,-76.9417442
2016-00006018,2016-01-30 00:12:00,2016-01-30 00:12:00,Alcohol Violation,Arrest,Knox Rd,,38.9807378,-76.93726699999998
2016-00006030,2016-01-30 00:48:00,2016-01-30 00:48:00,CDS Violation,Arrest,3800 Golf Course Rd,Golf Course Club House,38.9911831,-76.95459360000002
2016-00006032,2016-01-30 00:58:00,2016-01-30 00:58:00,Disorderly Conduct,Arrest,Knox Rd,,38.9807378,-76.93726699999998
2016-00006084,2016-01-30 16:00:00,2016-01-30 16:10:00,Assault,CBE,7570 Calvert Service Ln,Garrett Hall,38.983028600000004,-76.94246940000002
2016-00006094,2016-01-30 18:01:00,2016-01-30 18:01:00,Injured/Sick Person,CBE,4325 Rowalt Dr,279,38.9782532,-76.9405958
2016-00006115,2016-01-30 21:53:00,2016-01-30 21:53:00,DWI/DUI,Arrest,University Bl,,39.0006468,-76.9413438
2016-00006118,2016-01-30 22:13:00,2016-01-30 22:13:00,Accident - Departmental,CBE,7626 Regents Dr,Annapolis Hall,38.9827235,-76.9396556
2016-00006126,2016-01-29 10:00:00,2016-01-30 22:58:00,Telephone/EMail Misuse (Title IX Related),Suspended,4243 Valley Dr,Centreville Hall,38.9922658,-76.9417442
2016-00006139,2016-01-31 00:10:00,2016-01-31 00:10:00,Assault,Arrest,Knox Rd,,38.9807378,-76.93726699999998
2016-00006147,2016-01-31 01:08:00,2016-01-31 01:08:00,CDS Violation,CBE,240 block of Yale Ave,,38.98238449999999,-76.93606799999998
2016-00006149,2016-01-31 01:23:00,2016-01-31 01:23:00,Injured/Sick Person,CBE,3972 Campus Dr,"Stamp, Stamp Student Union, Student Union, Union",38.98821940000001,-76.94469720000002
2016-00006150,2016-01-31 01:15:00,2016-01-31 01:26:00,Injured/Sick Person,CBE,4243 Valley Dr,Centreville Hall,38.9922658,-76.9417442
2016-00006170,2016-01-31 05:56:00,2016-01-31 05:56:00,Theft,Active/Pending,346 Ehrensberger Dr,"Drazek Circle, UMUC",38.9869361,-76.95497309999998
2016-00006185,2016-01-31 13:57:00,2016-01-31 13:57:00,Emergency Petition,CBE,4000 Stadium Dr,Hagerstown Hall,38.992106,-76.9478627
2016-00006204,2016-01-31 18:47:00,2016-01-31 18:47:00,CDS Violation,CBE,7570 Regents Dr,Montgomery Hall,38.98244589999999,-76.93909520000003
2016-00006276,2016-02-01 07:26:00,2016-02-01 07:29:00,Injured/Sick Person,CBE,4500 College Ave,Landmark s,38.9824214,-76.93702420000002
2016-00006286,2016-02-01 08:00:00,2016-02-01 08:00:00,Lost Property,CBE,7649 Library Ln,Mckeldin Library,38.98644000000001,-76.94518199999997
2016-00006302,2016-01-27 13:00:00,2016-02-01 10:34:00,Burglary,Active/Pending,"Byrd Stadium, Maryland Stadium",Capital One Field,38.99033319999999,-76.9473792
2016-00006319,2016-01-27 13:00:00,2016-02-01 11:29:00,Burglary,Active/Pending,"Byrd Stadium, Maryland Stadium",Capital One Field,38.99033319999999,-76.9473792
2016-00006339,2016-02-01 13:45:00,2016-02-01 14:16:00,Theft,Active/Pending,4121 Farm Dr,"La Plata Hall, LaPlata hall",38.9924408,-76.9456119
2016-00006593,2016-02-01 15:00:00,2016-02-02 15:09:00,Missing Person/Runaway,CBE,8169 Paint Branch Dr,"Computer Science Instructional Center, CSIC",38.990122899999996,-76.9372843
2016-00006608,2016-02-02 13:55:00,2016-02-02 16:12:00,Theft,CBE,7809 Regents Dr,"Lee Building, South Administration",38.9853703,-76.939492
2016-00006658,2016-02-02 23:52:00,2016-02-02 23:52:00,Assault,CBE,Lot Q,,39.019667999999996,-76.9243848
2016-00006686,2016-02-03 02:45:00,2016-02-03 02:45:00,Injured/Sick Person,CBE,4121 Farm Dr,"La Plata Hall, LaPlata hall",38.9924408,-76.9456119
2016-00006745,2016-02-02 10:45:00,2016-02-03 10:04:00,Theft,Arrest,8051 Regents Dr,"Chemistry, Chemistry Building",38.9892916,-76.9406525
2016-00006751,2016-02-02 12:00:00,2016-02-03 10:41:00,Fraud,Suspended,7093 Preinkert Dr,South Campus Dining Hall,38.983201,-76.9448953
2016-00006797,2016-02-03 19:33:00,2016-02-03 19:33:00,CDS Violation,Arrest,Adelphi Rd,,38.99425979999999,-76.96025429999997
2016-00006803,2016-02-03 20:43:00,2016-02-03 20:43:00,Injured/Sick Person,CBE,4052 Stadium Dr,Ellicott Hall,38.99148020000001,-76.94716700000002
2016-00006806,2016-02-03 21:15:00,2016-02-03 21:15:00,Injured/Sick Person,CBE,4145 Valley Dr,Cumberland Hall,38.9929529,-76.9441866
2016-00006811,2016-02-03 21:59:00,2016-02-03 21:59:00,CDS Violation,Arrest,7284 Preinkert Dr,Carroll Hall,38.984151000000004,-76.9451931
2016-00006850,2016-02-04 01:04:00,2016-02-04 01:04:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00006854,2016-02-04 01:20:00,2016-02-04 01:20:00,Warrant/Summons Service,Arrest,University Bl,,39.0006468,-76.9413438
2016-00006933,2016-02-04 12:00:00,2016-02-04 12:29:00,Vandalism,Active/Pending,7524 Calvert Service Ln,"Commons 2, SCC 2, South Campus Commons 2",38.98258,-76.94294599999998
2016-00006977,2016-02-04 18:52:00,2016-02-04 18:52:00,CDS Violation,Arrest,3854 Stadium Dr,Denton Hall,38.9919854,-76.95030390000002
2016-00007016,2016-02-04 21:17:00,2016-02-04 21:17:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00007091,2016-02-05 02:20:00,2016-02-05 02:20:00,CDS Violation,Arrest,Knox Rd,,38.9807378,-76.93726699999998
2016-00007159,2016-02-05 14:45:00,2016-02-05 14:45:00,Assist Other Agency,CBE,7201 Baltimore Ave,"7-11 Guilford, 7-Eleven Guilford",38.9778277,-76.9375203
2016-00007253,2016-02-05 21:20:00,2016-02-05 21:20:00,Injured/Sick Person,CBE,3981 Denton Service Ln,Elkton Hall,38.9928946,-76.94858420000001
2016-00007360,2016-02-06 00:28:00,2016-02-06 00:28:00,Injured/Sick Person,CBE,3917 Denton Service Ln,Easton Hall,38.9929506,-76.95023189999998
2016-00007366,2016-02-06 00:48:00,2016-02-06 00:48:00,Injured/Sick Person,CBE,98 Valley Dr,,38.9930708,-76.94819439999998
2016-00007397,2016-02-06 03:53:00,2016-02-06 03:53:00,Injured/Sick Person,CBE,4145 Valley Dr,Cumberland Hall,38.9929529,-76.9441866
2016-00007416,2016-02-05 16:30:00,2016-02-06 08:39:00,Vandalism,Active/Pending,4250 Lehigh Rd,"Commons 1, SCC 1, South Campus Commons 1",38.9818,-76.94291799999998
2016-00007426,2016-02-06 10:43:00,2016-02-06 10:43:00,Injured/Sick Person,CBE,4243 Valley Dr,Centreville Hall,38.9922658,-76.9417442
2016-00007568,2016-02-06 23:08:00,2016-02-06 23:08:00,CDS Violation,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00007609,2016-02-07 01:28:00,2016-02-07 01:28:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00007689,2016-02-07 00:00:00,2016-02-07 13:20:00,Vandalism,Active/Pending,7570 Regents Dr,Montgomery Hall,38.98244589999999,-76.93909520000003
2016-00007730,2016-02-07 15:30:00,2016-02-07 16:30:00,Theft,CBE,7093 Preinkert Dr,South Campus Dining Hall,38.983201,-76.9448953
2016-00007841,2016-01-27 10:00:00,2016-02-08 09:37:00,Theft,Suspended,8169 Paint Branch Dr,"Computer Science Instructional Center, CSIC",38.990122899999996,-76.9372843
2016-00007858,2016-02-08 11:28:00,2016-02-08 11:28:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
